,year,theme,qid_key,qid,qheader,qsub,socio_group,group_,response,num,denom,percent_,Quality,ObjectId
400,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Education,University certificate,Yes,20200.0,34800,58.04597701149425,Good,401
401,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Racial identity,Racialized,Yes,12000.0,25100,47.808764940239044,Good,402
402,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Sexual orientation,LGBTQ2S+,No,17800.0,19800,89.8989898989899,Good,403
404,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Sex,Female,No,488200.0,532200,91.73243141676062,Good,405
405,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Sexual orientation,Heterosexual,No,358500.0,388600,92.25424601132269,Good,406
407,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Education,High school diploma or a equivalency certificate,No,170400.0,187600,90.8315565031983,Good,408
409,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Education,Less than high school diploma or its equivalent,No,71500.0,84200,84.91686460807601,Good,410
411,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Sex,Male,No,475100.0,524100,90.65063919099408,Good,412
412,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Education,High school diploma or a equivalency certificate,No,166700.0,207800,80.2213666987488,Good,413
414,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Racial identity,Non-racialized,No,694800.0,761000,91.30091984231274,Good,415
415,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,,Total,No,964200.0,1057400,91.1859277473047,Good,416
416,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",No,184800.0,200400,92.21556886227546,Good,417
417,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Education,University certificate,No,369600.0,405200,91.2142152023692,Good,418
418,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Racial identity,Racialized,No,259200.0,285000,90.94736842105263,Good,419
419,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Sex,Female,No,21100.0,43300,48.72979214780601,Good,420
420,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Sexual orientation,Heterosexual,No,12700.0,29900,42.474916387959865,Good,421
421,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Education,High school diploma or a equivalency certificate,No,8600.0,17100,50.29239766081871,Good,422
422,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Education,Less than high school diploma or its equivalent,No,6200.0,12700,48.818897637795274,Good,423
423,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Sex,Male,No,20100.0,48100,41.78794178794179,Good,424
424,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Racial identity,Non-racialized,No,27900.0,66100,42.208774583963695,Good,425
425,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,,Total,No,41400.0,91600,45.19650655021834,Good,426
426,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",No,7800.0,15600,50.0,Good,427
427,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Education,University certificate,No,14600.0,34800,41.95402298850575,Good,428
428,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Racial identity,Racialized,No,13100.0,25100,52.191235059760956,Good,429
435,2018,Housing quality & needs,55,49,Why does your dwelling not have all the adaptations your household needs?,Cannot afford it,Sex,Female,Yes,9200.0,21100,43.60189573459716,Good,436
439,2018,Housing quality & needs,55,49,Why does your dwelling not have all the adaptations your household needs?,Cannot afford it,Sex,Male,Yes,9000.0,20100,44.776119402985074,Good,440
440,2018,Housing quality & needs,55,49,Why does your dwelling not have all the adaptations your household needs?,Cannot afford it,Racial identity,Non-racialized,Yes,10500.0,27900,37.634408602150536,Good,441
441,2018,Housing quality & needs,55,49,Why does your dwelling not have all the adaptations your household needs?,Cannot afford it,,Total,Yes,18400.0,41400,44.44444444444444,Good,442
444,2018,Housing quality & needs,55,49,Why does your dwelling not have all the adaptations your household needs?,Cannot afford it,Racial identity,Racialized,Yes,7500.0,13100,57.25190839694656,Good,445
449,2018,Housing quality & needs,55,49,Why does your dwelling not have all the adaptations your household needs?,Cannot afford it,Sex,Female,No,11900.0,21100,56.39810426540285,Good,450
450,2018,Housing quality & needs,55,49,Why does your dwelling not have all the adaptations your household needs?,Cannot afford it,Sexual orientation,Heterosexual,No,7100.0,12700,55.90551181102362,Good,451
451,2018,Housing quality & needs,55,49,Why does your dwelling not have all the adaptations your household needs?,Cannot afford it,Sex,Male,No,11100.0,20100,55.223880597014926,Good,452
452,2018,Housing quality & needs,55,49,Why does your dwelling not have all the adaptations your household needs?,Cannot afford it,Racial identity,Non-racialized,No,17400.0,27900,62.365591397849464,Good,453
453,2018,Housing quality & needs,55,49,Why does your dwelling not have all the adaptations your household needs?,Cannot afford it,,Total,No,23000.0,41400,55.55555555555556,Good,454
454,2018,Housing quality & needs,55,49,Why does your dwelling not have all the adaptations your household needs?,Cannot afford it,Education,University certificate,No,7000.0,14600,47.94520547945205,Good,455
455,2018,Housing quality & needs,55,49,Why does your dwelling not have all the adaptations your household needs?,Cannot afford it,Racial identity,Racialized,No,5600.0,13100,42.74809160305343,Good,456
472,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Education,Less than high school diploma or its equivalent,No,61800.0,84100,73.48394768133176,Good,473
474,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Education,Less than high school diploma or its equivalent,No,71700.0,87500,81.94285714285714,Good,475
476,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Sex,Male,No,425700.0,524100,81.22495706926159,Good,477
478,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Sex,Male,No,444000.0,543600,81.67770419426049,Good,479
480,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Racial identity,Non-racialized,No,628600.0,761100,82.59098672973329,Good,481
482,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Racial identity,Non-racialized,No,621900.0,765100,81.28349235394066,Good,483
484,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Overall,Total,No,890100.0,1093500,81.39917695473251,Good,485
486,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,,Total,No,849600.0,1057400,80.3480234537545,Good,487
488,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",No,163800.0,199600,82.06412825651303,Good,489
490,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",No,163500.0,200400,81.58682634730539,Good,491
