,year,theme,qid_key,qid,qheader,qsub,socio_group,group_,response,num,denom,percent_,Quality,ObjectId
401,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Racial identity,Racialized,Yes,12000.0,25100,47.808764940239044,Good,402
402,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Sexual orientation,LGBTQ2S+,No,17800.0,19800,89.8989898989899,Good,403
404,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Sex,Female,No,488200.0,532200,91.73243141676062,Good,405
418,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Racial identity,Racialized,No,259200.0,285000,90.94736842105263,Good,419
419,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Sex,Female,No,21100.0,43300,48.72979214780601,Good,420
428,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Racial identity,Racialized,No,13100.0,25100,52.191235059760956,Good,429
435,2018,Housing quality & needs,55,49,Why does your dwelling not have all the adaptations your household needs?,Cannot afford it,Sex,Female,Yes,9200.0,21100,43.60189573459716,Good,436
444,2018,Housing quality & needs,55,49,Why does your dwelling not have all the adaptations your household needs?,Cannot afford it,Racial identity,Racialized,Yes,7500.0,13100,57.25190839694656,Good,445
449,2018,Housing quality & needs,55,49,Why does your dwelling not have all the adaptations your household needs?,Cannot afford it,Sex,Female,No,11900.0,21100,56.39810426540285,Good,450
455,2018,Housing quality & needs,55,49,Why does your dwelling not have all the adaptations your household needs?,Cannot afford it,Racial identity,Racialized,No,5600.0,13100,42.74809160305343,Good,456
498,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Racial identity,Racialized,No,212000.0,284900,74.41207441207442,Good,499
500,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Racial identity,Racialized,No,266800.0,326900,81.61517283572958,Good,501
546,2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Sex,Female,No,19100.0,21100,90.52132701421802,Good,547
572,2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Racial identity,Racialized,No,11000.0,13100,83.96946564885496,Good,573
678,2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Sex,Female,No,17000.0,21100,80.56872037914692,Good,679
684,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Sex,Female,Yes,43300.0,532200,8.136039083051484,Good,685
699,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Racial identity,Racialized,Yes,25100.0,285000,8.807017543859649,Good,700
700,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Sex,Female,Yes,22200.0,43300,51.27020785219399,Good,701
708,2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Racial identity,Racialized,No,12900.0,13000,99.23076923076923,Good,709
